"Index","Name","Ticker"
"WIG","IMCOMPANY","IMC"
"WIG","IMMOBILE","GKI"
"WIG","IMS","IMS"
"WIG","INC","INC"
"WIG","INGBSK","ING"
"WIG","INPRO","INP"
"WIG","INSTALKRK","INK"
"WIG","INTERAOLT","IRL"
"WIG","INTERCARS","CAR"
"WIG","INTERFERI","INF"
"WIG","INTERSPPL","IPO"
"WIG","INTROL","INL"
"WIG","IPOPEMA","IPE"
"WIG","IZOBLOK","IZB"
"WIG","IZOSTAL","IZS"
"WIG","JSW","JSW"
"WIG","K2INTERNT","K2I"
"WIG","KCI","KCI"
"WIG","KERNEL","KER"
"WIG","KETY","KTY"
"WIG","KGHM","KGH"
"WIG","KGL","KGL"
"WIG","KINOPOL","KPL"
"WIG","KOGENERA","KGN"
"WIG","KOMPAP","KMP"
"WIG","KPPD","KPD"
"WIG","KREC","KRC"
"WIG","KRKA","KRK"
"WIG","KRUK","KRU"
"WIG","KRUSZWICA","KSW"
"WIG","KRVITAMIN","KVT"
"WIG","KSGAGRO","KSG"
"WIG","LARQ","LRQ"
"WIG","LENA","LEN"
"WIG","LENTEX","LTX"
"WIG","LIBET","LBT"
"WIG","LIVECHAT","LVC"
"WIG","LOKUM","LKD"
"WIG","LOTOS","LTS"
"WIG","LPP","LPP"
"WIG","LSISOFT","LSI"
"WIG","LUBAWA","LBW"
"WIG","MABION","MAB"
"WIG","MAKARONPL","MAK"
"WIG","MANGATA","MGT"
"WIG","MARVIPOL","MVP"
"WIG","MASTERPHA","MPH"
"WIG","MAXCOM","MXC"
"WIG","MBANK","MBK"
"WIG","MBWS","MBW"
"WIG","MCI","MCI"
"WIG","MDIENERGIA","MDI"
"WIG","MEDIACAP","MCP"
"WIG","MEDICALG","MDG"
"WIG","MENNICA","MNC"
"WIG","MERCATOR","MRC"
"WIG","MERCOR","MCR"
"WIG","MEXPOLSKA","MEX"
"WIG","MFO","MFO"
"WIG","MILLENNIUM","MIL"
"WIG","MIRACULUM","MIR"
"WIG","MIRBUD","MRB"
"WIG","MLPGROUP","MLG"
"WIG","MLSYSTEM","MLS"
"WIG","MOJ","MOJ"
"WIG","MOL","MOL"
"WIG","MONNARI","MON"
"WIG","MOSTALPLC","MSP"
"WIG","MOSTALWAR","MSW"
"WIG","MOSTALZAB","MSZ"
"WIG","MWTRADE","MWT"
"WIG","NANOGROUP","NNG"
