id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
10323513;Sunny One-Bedroom Apartment;707888;Divina;NeukÃ¶lln;ReuterstraÃe;52,4860808781291;13,4365345448985;Entire home/apt;56;3;13;2018-10-07;0,38;1;6
10324475;Kreuzberg Library-Style Bedroom;8429742;Christopher;Mitte;Alexanderplatz;52,5139288921587;13,4175467511209;Private room;90;1;1;2016-02-12;0,03;1;0
10325781;The Room of NeukÃ¶lln;4486672;Malte;NeukÃ¶lln;ReuterstraÃe;52,4836978515356;13,434614947515;Private room;25;1;85;2018-10-09;2,52;1;0
10326110;25 sqm Room Prenzlauer Berg / VEGAN;15116552;Eric Nicolas;Pankow;Helmholtzplatz;52,5465934714911;13,4150475664292;Private room;19;3;1;2016-02-09;0,03;2;0
10326238;TOP 25 sqm f. CAT FRIENDs Prenzl Bg;15116552;Eric Nicolas;Pankow;Helmholtzplatz;52,5474430600592;13,4151037091184;Private room;20;3;2;2016-05-23;0,06;2;0
10326781;Bright and Cosy Apartment - Ku'Damm;25470108;Nissan;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,4991395333474;13,3404942951546;Entire home/apt;70;1;1;2016-02-12;0,03;1;0
10327702;8-Zi Maisonette Wohnung;38523573;Thomas;Treptow - KÃ¶penick;Friedrichshagen;52,4488373925122;13,6390355436583;Entire home/apt;95;1;0;;;1;0
10329556;Big, Modern & central apartment;53155471;Cedric;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5069609583561;13,4620722482775;Entire home/apt;140;21;0;;;1;0
10329793;Green@the City NÃ€he Prenzlauerberg;47519752;Simone;Pankow;WeiÃensee;52,5510703121134;13,4353105973546;Entire home/apt;103;3;2;2018-08-11;0,06;1;60
10331199;Comfortable luxury suite in the heart of Berlin;47702685;Paul;Mitte;Alexanderplatz;52,5318139520508;13,3816072124991;Private room;191;1;51;2018-11-04;1,5;7;326
10332030;STORAGE APARTMENT SONNENALLEE;86173;Sebastian;NeukÃ¶lln;ReuterstraÃe;52,4860128673088;13,4317343965259;Entire home/apt;450;3;55;2018-10-13;1,68;2;340
10332726;Small room in a Loft in Kreuzberg;8954454;Daniel;Friedrichshain-Kreuzberg;nÃ¶rdliche Luisenstadt;52,5020496118034;13,4210248793068;Private room;32;2;34;2018-10-12;1,01;1;0
10332970;Nice and Cosy Flat with in Prenzlauer Berg;38338692;Christian;Pankow;WeiÃensee;52,5551336806332;13,4317784381627;Entire home/apt;55;5;6;2017-12-21;0,19;2;0
10334964;GemÃŒtliches Zimmer am S-Bahnhof;22945429;Sandra;Lichtenberg;Neu Lichtenberg;52,5100796015512;13,4986109751528;Private room;20;1;0;;;1;0
10336261;Zentral, Hell & Familienfreundlich;51000190;Paul;Mitte;Brunnenstr. Nord;52,5452400933059;13,3778661547323;Entire home/apt;62;1;9;2016-05-02;0,27;1;0
10336399;Berlin, 2 bedroom apartment, fully furneshed;53185812;Nelli;Pankow;Prenzlauer Berg Nord;52,5496877346545;13,4246157979568;Entire home/apt;35;24;1;2018-08-11;0,04;1;298
10346622;Cosy room in spacious appartement;45362991;Nico;Tempelhof - SchÃ¶neberg;SchÃ¶neberg-Nord;52,4954211561212;13,3474928263866;Private room;25;7;2;2016-02-28;0,06;1;0
10348042;65qm Loft, quiet, cozy, Park+Spree;29390544;Anna;Treptow - KÃ¶penick;Alt  Treptow;52,4887645965131;13,4544053116443;Private room;40;5;2;2016-08-09;0,07;1;0
10348393;Ideal for Messe/WaldbÃŒhne/Olympiastadion visitors;49840372;Ana;Charlottenburg-Wilm.;Heerstrasse;52,5101150814971;13,2192756640432;Private room;43;5;4;2018-09-13;0,44;3;148
10356630;Lovely apartment in the heart of Kreuzberg;9145863;Enes;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4920376499235;13,3839375434956;Entire home/apt;51;2;2;2018-09-29;1,07;1;358
10359943;Simon Dach Neighborhood;53320590;Tommy;Friedrichshain-Kreuzberg;Frankfurter Allee SÃŒd FK;52,5136938322506;13,4585457204934;Entire home/apt;46;1;58;2018-09-16;1,82;1;142
10360111;Big room in shared flat;53321230;BjÃ¶rn;Steglitz - Zehlendorf;Teltower Damm;52,4334332871398;13,2577189008173;Private room;40;1;0;;;1;0
10360635;Charmante Wohnung am Treptower Park;11180297;Prochor;Treptow - KÃ¶penick;PlÃ€nterwald;52,4847860540152;13,463129084964;Entire home/apt;56;2;60;2018-10-31;1,81;2;0
10363260;beautiful big apartment in mitte!;6721374;Gidon;Mitte;Alexanderplatz;52,5262213167814;13,3866004564218;Entire home/apt;120;3;8;2018-02-21;0,26;1;155
10370274;Private Room with Balcony!;21266571;Bobby;Friedrichshain-Kreuzberg;Karl-Marx-Allee-SÃŒd;52,5122810805574;13,4393223268514;Private room;29;10;6;2018-09-07;0,27;2;159
10373610;Cozy und quite apartment close to Mauerpark;43070591;Maria;Mitte;Osloer StraÃe;52,5530861963255;13,3858555700294;Entire home/apt;30;15;8;2018-07-22;0,29;1;0
10374971;Spacious room with cozy balcony;8486798;Maria;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4944127393369;13,4276144274196;Private room;35;1;2;2016-04-25;0,06;2;0
10375507;Charlottenburg, Berlin;52747435;Asel;Charlottenburg-Wilm.;Otto-Suhr-Allee;52,5162445161626;13,304954868829;Entire home/apt;27;30;10;2018-08-03;0,31;17;258
10376176;district Moabit, Turmstreat;52747435;Asel;Mitte;Moabit West;52,5281665661845;13,3415513068561;Entire home/apt;27;30;15;2018-10-17;0,46;17;324
10376370;Room directly at Kottbusser Tor;15896185;Patricia Mariaa;Friedrichshain-Kreuzberg;nÃ¶rdliche Luisenstadt;52,4982986847595;13,4196436366338;Private room;24;2;2;2017-02-13;0,06;2;0
10379258;Modern New studio apartment;10657014;Karolina;Pankow;Helmholtzplatz;52,5425918957128;13,4257162817974;Entire home/apt;70;1;0;;;1;0
10379645;bright room in Berlin;53430366;Uwe;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,486433634185;13,3980944556882;Private room;29;2;3;2016-07-29;0,09;1;0
10380276;Cosy room near Mauerpark;1207835;Giulia;Pankow;Helmholtzplatz;52,5396572817643;13,41993696422;Private room;40;1;9;2017-07-13;0,27;1;194
10380465;Perfect place in NeukÃ¶lln;16698845;Kristin;NeukÃ¶lln;ReuterstraÃe;52,4901580077208;13,4346403279053;Private room;21;3;1;2016-04-28;0,03;1;0
10381286;Ruhiges, schÃ¶nes Zimmer (16 qm) in perfekter Lage;7542072;Philipp Martin;Pankow;Prenzlauer Berg SÃŒdwest;52,5289344215244;13,411505397777;Private room;49;2;12;2018-06-26;0,44;1;0
10383055;Big furnished room near Tubestation;53448879;Daniela;Lichtenberg;Neu Lichtenberg;52,5105362464333;13,500435371905;Private room;18;10;0;;;1;0
10384587;Central 1 room apartment;12413014;Yassin&;Pankow;Prenzlauer Berg Ost;52,5306488314157;13,4481998674353;Private room;45;5;7;2018-06-30;0,24;4;354
10384926;Spacious flat in Berlin;32245189;Patrick;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52,5167346644512;13,4641494601547;Entire home/apt;48;15;0;;;1;0
10385865;COSY&WARM Room in Berlin F-HAIN;43767775;Anna&Josh;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52,5239649382239;13,449357540638;Private room;30;2;97;2018-08-26;2,82;2;59
10386314;COZY FLAT IN THE HEART OF BERLIN!;3065343;Erik;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52,4949805659898;13,3832643322882;Entire home/apt;65;3;8;2018-03-02;0,25;1;0
10386974;Nice and comfy room in Berlin! 20 min. to Alex;13254396;Matthias;Lichtenberg;Karlshorst;52,4784150813225;13,5243961310044;Private room;45;2;25;2018-10-24;1,72;1;167
10394625;Apartment in 50m from metro station;52747435;Asel;Charlottenburg-Wilm.;Mierendorffplatz;52,5248719581514;13,3054320512395;Entire home/apt;26;30;7;2018-08-31;0,22;17;241
10395161;Apartment in Thaterstreat;52747435;Asel;Reinickendorf;Ost 2;52,5686081531586;13,3599932283841;Entire home/apt;26;30;5;2018-07-26;0,17;17;314
10399920;Big beautiful room in Kreuzberg;53547783;Vincent;NeukÃ¶lln;ReuterstraÃe;52,4922419362802;13,4272652754059;Private room;25;1;140;2018-10-21;5,13;2;51
10400316;Nice and cozy room in Kreuzberg;53549768;Valdimar;Friedrichshain-Kreuzberg;sÃŒdliche Luisenstadt;52,4990422976311;13,4393471573442;Private room;17;1;0;;;1;0
10402953;Cosy room in perfect location;9870087;Veronika;Pankow;Prenzlauer Berg SÃŒdwest;52,5394446274554;13,4125213344727;Private room;37;1;7;2016-08-01;0,21;1;0
10404547;Ruhiges, helles, grosses Zimmer;13092952;Helena;Pankow;Prenzlauer Berg Nordwest;52,5548308631553;13,4127188715103;Private room;40;10;0;;;2;0
10404944;Big room most attractive part of BE;44014107;Ron;Friedrichshain-Kreuzberg;Frankfurter Allee Nord;52,5146202096745;13,4688066681504;Private room;25;7;0;;;1;0
10406196;Sanierte Altbauwohnung Trendviertel;53520798;Alexandra;Mitte;Moabit West;52,5273288434447;13,3377857782388;Entire home/apt;45;1;4;2016-07-18;0,14;1;10
