<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC,D,20100217,000000,44.998,45.508,44.232,44.657,7475,0
CCC,D,20100218,000000,44.232,45.082,44.232,44.615,66134,0
CCC,D,20100219,000000,44.998,45.042,43.467,43.467,2721,0
CCC,D,20100222,000000,44.489,44.615,44.104,44.615,2405,0
CCC,D,20100224,000000,44.657,44.657,44.232,44.574,4133,0
CCC,D,20100225,000000,44.913,44.913,44.232,44.36,152136,0
CCC,D,20100226,000000,44.36,45.082,44.275,44.657,15880,0
CCC,D,20100301,000000,44.657,47.21,44.657,44.701,505,0
CCC,D,20100302,000000,44.657,45.082,44.657,45.082,13101,0
CCC,D,20100303,000000,44.828,46.443,44.828,45.933,1317,0
CCC,D,20100304,000000,45.847,46.317,45.847,46.317,38446,0
CCC,D,20100305,000000,46.359,46.571,44.743,45.594,24160,0
CCC,D,20100308,000000,44.743,46.529,44.743,46.359,24423,0
CCC,D,20100309,000000,45.594,46.785,45.594,46.785,56419,0
CCC,D,20100310,000000,46.061,46.87,46.061,46.785,14213,0
CCC,D,20100311,000000,46.785,46.785,46.061,46.359,156,0
CCC,D,20100312,000000,46.785,46.785,46.443,46.785,23657,0
CCC,D,20100315,000000,47.294,47.294,46.785,46.785,276,0
CCC,D,20100316,000000,46.785,46.785,46.359,46.359,831,0
CCC,D,20100317,000000,46.359,46.359,46.359,46.359,180,0
CCC,D,20100318,000000,46.401,46.401,46.359,46.359,6055,0
CCC,D,20100319,000000,46.785,49.081,46.443,47.21,287898,0
CCC,D,20100322,000000,47.21,47.21,46.785,46.785,124,0
CCC,D,20100323,000000,46.785,46.785,46.359,46.656,2577,0
CCC,D,20100324,000000,46.656,48.4,46.656,47.635,238032,0
CCC,D,20100325,000000,48.655,48.655,47.21,47.21,627,0
CCC,D,20100326,000000,47.635,48.572,47.549,48.572,2516,0
CCC,D,20100329,000000,47.763,48.827,47.763,48.783,3477,0
CCC,D,20100330,000000,48.783,48.783,48.783,48.783,327,0
CCC,D,20100331,000000,47.804,51.033,47.208,47.208,7365,0
CCC,D,20100401,000000,49.293,49.293,47.847,48.572,17755,0
CCC,D,20100406,000000,48.485,48.912,48.485,48.912,773,0
CCC,D,20100407,000000,49.76,49.76,48.912,49.635,6219,0
CCC,D,20100408,000000,49.335,49.335,48.572,48.655,726,0
CCC,D,20100409,000000,49.335,49.335,49.081,49.335,117735,0
CCC,D,20100412,000000,48.74,49.335,48.485,48.827,879,0
CCC,D,20100413,000000,49.335,49.335,49.335,49.335,1424,0
CCC,D,20100414,000000,49.335,49.421,48.912,48.912,529,0
CCC,D,20100415,000000,49.335,49.676,48.912,49.676,422,0
CCC,D,20100416,000000,49.335,49.335,49.335,49.335,325,0
CCC,D,20100419,000000,49.335,49.335,48.572,48.827,3579,0
CCC,D,20100420,000000,48.527,48.827,47.423,48.827,3832,0
CCC,D,20100421,000000,47.976,48.485,47.976,48.485,5626,0
CCC,D,20100422,000000,48.4,48.485,47.635,48.485,1275,0
CCC,D,20100423,000000,48.314,49.292,48.314,49.292,9013,0
CCC,D,20100426,000000,48.912,48.912,48.189,48.868,31027,0
CCC,D,20100427,000000,47.677,48.74,47.635,48.74,407,0
CCC,D,20100428,000000,47.677,48.74,46.87,48.74,4968,0
CCC,D,20100429,000000,48.74,48.74,47.168,48.485,716,0
CCC,D,20100430,000000,48.954,49.674,48.954,49.631,254,0
CCC,D,20100504,000000,48.485,49.591,48.145,48.912,1555,0
CCC,D,20100505,000000,47.635,48.912,47.635,48.912,809,0
CCC,D,20100506,000000,48.912,48.912,47.635,47.635,2232,0
CCC,D,20100507,000000,47.592,47.635,43.893,45.933,17127,0
CCC,D,20100510,000000,45.508,48.4,45.508,48.189,992,0
CCC,D,20100511,000000,46.529,47.635,45.253,47.592,13626,0
CCC,D,20100512,000000,46.146,48.912,46.105,48.912,22717,0
CCC,D,20100513,000000,48.912,48.912,48.145,48.189,1472,0
CCC,D,20100514,000000,48.485,48.485,47.976,48.23,2108,0
CCC,D,20100517,000000,48.4,48.4,48.4,48.4,84,0
CCC,D,20100518,000000,48.485,48.485,47.379,48.4,4127,0
CCC,D,20100519,000000,48.4,48.4,47.635,47.635,3198,0
CCC,D,20100520,000000,46.826,47.21,45.253,47.21,571,0
CCC,D,20100521,000000,46.443,47.21,46.443,47.21,102,0
CCC,D,20100524,000000,47.21,47.21,47.21,47.21,12,0
CCC,D,20100525,000000,47.549,47.549,46.529,47.21,451,0
CCC,D,20100526,000000,47.21,47.21,47.21,47.21,145,0
CCC,D,20100527,000000,47.592,48.485,47.592,48.485,1079,0
CCC,D,20100528,000000,47.635,48.912,47.635,48.912,774,0
CCC,D,20100531,000000,48.913,48.913,47.977,48.576,832,0
CCC,D,20100601,000000,48.572,48.572,47.805,48.572,7302,0
CCC,D,20100602,000000,47.933,48.485,47.294,47.294,6230,0
CCC,D,20100604,000000,48.4,48.4,46.785,46.785,620,0
CCC,D,20100607,000000,47.168,47.168,45.082,46.785,7242,0
CCC,D,20100608,000000,46.105,46.105,45.296,45.933,3490,0
CCC,D,20100609,000000,45.126,45.933,44.743,45.296,7571,0
CCC,D,20100610,000000,45.721,45.933,44.403,45.933,6658,0
CCC,D,20100611,000000,46.188,46.273,46.188,46.232,446,0
CCC,D,20100614,000000,46.188,46.359,44.743,46.359,662,0
CCC,D,20100615,000000,45.338,46.359,45.338,46.359,82,0
CCC,D,20100616,000000,46.359,46.785,46.359,46.359,89,0
CCC,D,20100617,000000,46.358,48.064,45.933,47.292,1055,0
CCC,D,20100618,000000,46.485,46.485,45.168,45.933,11381,0
CCC,D,20100621,000000,45.082,46.485,45.082,45.933,219767,0
CCC,D,20100622,000000,45.21,46.656,45.082,46.656,772,0
CCC,D,20100623,000000,45.126,46.529,45.126,46.105,273,0
CCC,D,20100624,000000,45.126,45.933,45.126,45.933,593,0
CCC,D,20100629,000000,45.933,45.933,45.933,45.933,896,0
CCC,D,20100630,000000,45.933,45.933,45.083,45.933,4358,0
CCC,D,20100701,000000,44.998,45.933,44.275,44.998,16096,0
CCC,D,20100702,000000,44.36,44.36,43.382,43.382,14591,0
CCC,D,20100705,000000,44.148,44.148,42.489,42.531,76349,0
CCC,D,20100706,000000,42.531,44.02,41.69,43.765,254018,0
CCC,D,20100707,000000,43.721,44.657,42.957,44.657,10636,0
CCC,D,20100708,000000,48.996,48.996,43.68,45.082,56007,0
CCC,D,20100709,000000,45.082,45.082,44.02,45.082,923,0
CCC,D,20100712,000000,45.678,45.933,45.678,45.933,1049,0
CCC,D,20100713,000000,46.019,46.785,46.019,46.785,3529,0
CCC,D,20100714,000000,46.785,46.785,46.615,46.785,7895,0
CCC,D,20100715,000000,46.359,46.785,46.359,46.785,1817,0
CCC,D,20100716,000000,46.785,46.785,45.933,46.785,358061,0
CCC,D,20100719,000000,46.061,46.7,45.933,46.443,547272,0
CCC,D,20100720,000000,46.02,46.02,45.933,45.977,4774,0
CCC,D,20100721,000000,46.785,46.785,45.933,46.785,5944,0
CCC,D,20100722,000000,46.785,46.826,46.785,46.785,7376,0
CCC,D,20100723,000000,46.785,46.785,45.933,46.785,179745,0
CCC,D,20100726,000000,46.785,47.635,46.785,47.635,158,0
CCC,D,20100727,000000,48.74,48.868,47.933,48.74,8815,0
CCC,D,20100728,000000,48.783,48.827,48.4,48.572,142,0
CCC,D,20100729,000000,48.572,48.572,47.89,48.06,5697,0
CCC,D,20100730,000000,48.064,48.064,47.041,47.639,1748,0
CCC,D,20100802,000000,48.4,48.4,47.635,47.635,378,0
CCC,D,20100803,000000,47.639,47.639,46.956,47.596,529,0
CCC,D,20100804,000000,48.06,48.06,46.232,46.785,3979,0
CCC,D,20100805,000000,46.15,46.783,45.846,46.358,50729,0
CCC,D,20100806,000000,45.933,46.359,45.933,45.933,1184,0
CCC,D,20100809,000000,45.083,45.933,45.083,45.846,376,0
CCC,D,20100810,000000,45.933,45.933,44.232,45.933,5851,0
CCC,D,20100811,000000,45.508,45.933,45.082,45.933,461,0
CCC,D,20100812,000000,45.126,46.785,45.126,45.933,524,0
CCC,D,20100813,000000,46.359,47.21,46.359,47.21,595,0
CCC,D,20100816,000000,47.21,47.21,47.21,47.21,258,0
CCC,D,20100817,000000,47.252,47.252,46.401,47.252,934,0
CCC,D,20100818,000000,47.252,47.252,47.252,47.252,35,0
CCC,D,20100819,000000,46.785,47.252,46.785,47.252,393,0
CCC,D,20100820,000000,47.208,47.208,46.783,47.126,509,0
CCC,D,20100823,000000,47.124,47.124,45.933,46.019,8259,0
CCC,D,20100824,000000,46.02,46.869,45.76,46.27,892,0
CCC,D,20100825,000000,46.273,46.656,44.913,45.847,2558,0
CCC,D,20100826,000000,45.168,45.933,45.168,45.933,14428,0
CCC,D,20100827,000000,45.17,45.933,44.444,45.804,8597,0
CCC,D,20100830,000000,45.76,45.933,45.76,45.933,470,0
CCC,D,20100831,000000,45.89,46.738,45.89,46.738,218,0
CCC,D,20100901,000000,45.804,46.531,45.597,46.531,443,0
CCC,D,20100902,000000,46.184,46.783,46.184,46.783,1273,0
CCC,D,20100903,000000,45.933,48.444,45.933,48.444,2005,0
CCC,D,20100906,000000,47.89,48.487,47.717,48.401,1300,0
CCC,D,20100907,000000,47.25,48.064,47.25,48.064,242,0
CCC,D,20100908,000000,47.639,48.444,47.639,48.444,478,0
CCC,D,20100909,000000,48.064,48.227,47.639,47.639,5962,0
