<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCC,D,20090202,000000,32.324,32.324,31.652,31.652,7444,0
CCC,D,20090203,000000,31.652,31.652,30.691,30.691,161,0
CCC,D,20090204,000000,31.524,31.524,30.572,31.456,20869,0
CCC,D,20090205,000000,31.652,31.652,29.611,30.817,13280,0
CCC,D,20090206,000000,31.431,31.652,30.979,31.652,6821,0
CCC,D,20090209,000000,31.652,31.652,31.652,31.652,109,0
CCC,D,20090210,000000,31.652,31.652,30.817,31.235,460,0
CCC,D,20090211,000000,31.558,31.558,31.235,31.235,284,0
CCC,D,20090212,000000,30.589,30.589,30.358,30.358,8,0
CCC,D,20090213,000000,29.865,30.86,29.865,30.86,18272,0
CCC,D,20090217,000000,30.07,30.07,29.065,29.737,301,0
CCC,D,20090218,000000,30.392,30.402,29.737,30.317,65735,0
CCC,D,20090219,000000,30.402,31.15,30.351,31.15,11722,0
CCC,D,20090220,000000,30.826,30.826,30.817,30.817,915,0
CCC,D,20090223,000000,29.984,30.784,29.984,30.784,812,0
CCC,D,20090224,000000,30.231,30.572,29.984,30.231,10070,0
CCC,D,20090225,000000,30.74,30.74,30.732,30.732,325,0
CCC,D,20090226,000000,30.989,30.989,30.732,30.732,6094,0
CCC,D,20090227,000000,30.487,30.487,29.151,29.151,8878,0
CCC,D,20090302,000000,30.402,30.402,28.734,29.926,531,0
CCC,D,20090303,000000,29.065,29.065,26.649,26.649,3167,0
CCC,D,20090304,000000,27.553,27.739,27.485,27.73,1595,0
CCC,D,20090305,000000,28.18,28.18,27.485,27.891,43018,0
CCC,D,20090306,000000,27.773,27.773,27.152,27.485,42928,0
CCC,D,20090309,000000,27.485,27.485,26.649,27.485,4028,0
CCC,D,20090310,000000,27.485,27.485,27.485,27.485,4336,0
CCC,D,20090311,000000,27.485,27.85,24.949,24.99,2664,0
CCC,D,20090312,000000,27.364,27.364,24.99,25.027,26943,0
CCC,D,20090313,000000,25.068,25.485,25.027,25.485,4636,0
CCC,D,20090316,000000,25.817,25.902,25.068,25.74,1304,0
CCC,D,20090317,000000,25.4,25.4,25.196,25.196,1855,0
CCC,D,20090318,000000,25.4,25.679,25.4,25.485,13649,0
CCC,D,20090319,000000,25.731,25.731,24.703,24.736,2548,0
CCC,D,20090320,000000,24.745,24.745,23.324,23.425,4779,0
CCC,D,20090323,000000,23.401,24.275,22.907,24.275,11778,0
CCC,D,20090324,000000,25.152,25.152,24.336,24.532,3219,0
CCC,D,20090325,000000,24.82,25.11,24.532,24.99,42523,0
CCC,D,20090326,000000,25.238,25.238,24.573,24.573,17525,0
CCC,D,20090327,000000,24.982,24.982,24.778,24.864,7634,0
CCC,D,20090330,000000,24.949,25.068,24.736,24.736,3196,0
CCC,D,20090331,000000,24.573,24.573,23.484,24.115,2863,0
CCC,D,20090401,000000,24.115,24.573,23.705,24.573,31434,0
CCC,D,20090402,000000,25.027,26.488,25.027,26.071,33063,0
CCC,D,20090403,000000,26.53,26.574,25.671,26.53,14504,0
CCC,D,20090406,000000,26.649,26.82,26.649,26.735,36413,0
CCC,D,20090407,000000,25.817,27.458,25.817,27.458,1431,0
CCC,D,20090408,000000,26.649,26.82,26.157,26.82,122509,0
CCC,D,20090409,000000,26.777,26.82,26.157,26.82,83169,0
CCC,D,20090414,000000,26.82,27.024,25.817,25.817,3595,0
CCC,D,20090415,000000,25.987,26.403,25.987,26.029,58975,0
CCC,D,20090416,000000,26.362,26.488,25.817,26.488,1435,0
CCC,D,20090417,000000,26.659,27.458,26.649,26.777,39504,0
CCC,D,20090420,000000,26.991,26.991,26.232,26.947,6457,0
CCC,D,20090421,000000,26.318,27.067,26.318,27.067,355,0
CCC,D,20090422,000000,26.82,27.322,25.827,27.322,6024,0
CCC,D,20090423,000000,27.322,27.485,26.751,27.485,362625,0
CCC,D,20090424,000000,27.485,27.739,27.322,27.739,10148,0
CCC,D,20090427,000000,27.485,27.765,27.485,27.485,712,0
CCC,D,20090428,000000,27.398,27.485,26.403,26.649,242790,0
CCC,D,20090429,000000,26.649,28.318,26.649,28.318,10018,0
CCC,D,20090430,000000,28.734,29.566,28.734,29.566,49215,0
CCC,D,20090504,000000,29.651,32.4,29.566,31.608,17077,0
CCC,D,20090505,000000,31.813,32.298,29.576,31.652,8059,0
CCC,D,20090506,000000,31.729,32.485,31.319,32.485,49494,0
CCC,D,20090507,000000,31.576,32.07,31.576,31.738,7240,0
CCC,D,20090508,000000,31.396,32.485,30.817,32.485,27195,0
CCC,D,20090511,000000,32.485,32.485,31.652,31.652,492042,0
CCC,D,20090512,000000,32.476,32.86,31.652,32.4,13216,0
CCC,D,20090513,000000,31.652,32.476,31.396,31.396,1941,0
CCC,D,20090514,000000,31.608,31.608,28.988,29.22,257594,0
CCC,D,20090515,000000,29.984,31.235,29.984,31.235,723,0
CCC,D,20090518,000000,30.402,31.235,30.402,31.235,178,0
CCC,D,20090519,000000,31.244,31.244,30.452,31.03,1459,0
CCC,D,20090520,000000,31.652,31.652,30.979,30.979,1703,0
CCC,D,20090521,000000,30.979,30.979,30.317,30.732,31776,0
CCC,D,20090522,000000,30.402,30.402,29.984,30.128,3836,0
CCC,D,20090525,000000,30.128,30.334,29.899,29.899,94,0
CCC,D,20090526,000000,30.189,30.189,29.984,29.984,66,0
CCC,D,20090527,000000,29.984,30.817,29.984,30.817,11736,0
CCC,D,20090528,000000,30.164,30.189,30.154,30.189,329,0
CCC,D,20090529,000000,31.03,31.03,30.231,30.231,6035,0
CCC,D,20090601,000000,30.231,32.393,30.231,31.898,481189,0
CCC,D,20090602,000000,31.898,31.898,31.396,31.498,687,0
CCC,D,20090603,000000,31.244,31.898,31.244,31.498,17048,0
CCC,D,20090604,000000,31.89,32.485,31.481,31.652,274434,0
CCC,D,20090605,000000,31.898,32.07,31.898,31.898,173,0
CCC,D,20090608,000000,32.604,32.604,31.439,31.439,911,0
CCC,D,20090609,000000,30.487,31.064,30.487,31.064,18026,0
CCC,D,20090610,000000,32.476,32.476,32.07,32.07,221,0
CCC,D,20090612,000000,32.07,33.106,31.235,32.409,6427,0
CCC,D,20090615,000000,32.485,33.318,32.316,32.91,7720,0
CCC,D,20090616,000000,34.978,34.978,32.07,33.267,861,0
CCC,D,20090617,000000,33.609,33.609,32.57,32.57,262,0
CCC,D,20090618,000000,31.822,32.485,31.813,32.485,458,0
CCC,D,20090619,000000,32.485,32.485,31.652,32.001,309,0
CCC,D,20090622,000000,31.652,32.07,31.286,31.286,290,0
CCC,D,20090623,000000,30.334,31.235,30.291,31.235,1286,0
CCC,D,20090624,000000,31.652,32.485,31.064,31.216,550,0
CCC,D,20090625,000000,32.222,32.222,31.652,31.941,48061,0
CCC,D,20090626,000000,32.07,32.07,32.07,32.07,10,0
CCC,D,20090629,000000,32.07,32.07,32.024,32.07,684,0
CCC,D,20090630,000000,31.652,32.485,31.652,32.485,1201853,0
CCC,D,20090701,000000,32.07,32.902,32.07,32.902,436,0
CCC,D,20090702,000000,33.318,34.153,33.072,33.65,660442,0
CCC,D,20090703,000000,33.318,34.025,33.226,34.025,46281,0
CCC,D,20090706,000000,33.318,33.318,33.318,33.318,468812,0
CCC,D,20090707,000000,33.149,33.318,33.149,33.31,3609,0
CCC,D,20090708,000000,33.234,33.626,32.4,32.979,4664,0
CCC,D,20090709,000000,32.902,32.902,32.485,32.612,36379,0
CCC,D,20090710,000000,32.648,33.022,31.915,32.902,3645,0
CCC,D,20090713,000000,32.893,32.902,31.652,32.689,37529,0
CCC,D,20090714,000000,33.174,33.736,33.174,33.736,10940,0
CCC,D,20090715,000000,33.957,34.978,32.902,34.978,6972,0
CCC,D,20090716,000000,34.978,34.978,34.978,34.978,2345,0
CCC,D,20090717,000000,34.187,34.902,34.153,34.814,2646,0
CCC,D,20090720,000000,34.569,35.395,34.357,35.395,14415,0
CCC,D,20090721,000000,35.565,35.565,34.153,34.902,9201,0
CCC,D,20090722,000000,34.978,35.395,33.736,35.395,19641,0
CCC,D,20090723,000000,35.377,35.734,34.569,35.734,19145,0
CCC,D,20090724,000000,35.895,36.815,34.153,36.645,29856,0
CCC,D,20090727,000000,36.638,38.312,36.638,37.895,31011,0
CCC,D,20090728,000000,38.312,39.127,37.062,37.47,13853,0
CCC,D,20090729,000000,38.193,38.201,36.645,37.446,2911,0
CCC,D,20090730,000000,37.446,37.647,37.446,37.647,7765,0
CCC,D,20090731,000000,36.654,37.479,36.654,37.479,6677,0
CCC,D,20090803,000000,37.062,37.062,36.645,36.985,3854,0
CCC,D,20090804,000000,35.982,36.645,34.663,36.27,22885,0
CCC,D,20090805,000000,36.227,37.692,36.227,37.394,94289,0
CCC,D,20090806,000000,37.394,37.479,36.678,36.985,357052,0
CCC,D,20090807,000000,36.985,37.479,36.977,37.479,3594,0
CCC,D,20090810,000000,37.479,37.479,37.027,37.479,7104,0
CCC,D,20090811,000000,38.312,38.312,36.901,37.811,42361,0
CCC,D,20090812,000000,37.479,37.895,35.82,37.895,15494,0
CCC,D,20090813,000000,38.312,38.312,37.104,38.312,12717,0
CCC,D,20090814,000000,38.312,38.728,37.47,37.479,23253,0
CCC,D,20090817,000000,38.312,38.312,35.811,36.645,3872,0
CCC,D,20090818,000000,35.895,36.314,35.021,36.024,14078,0
CCC,D,20090819,000000,35.147,35.811,34.646,35.811,38526,0
CCC,D,20090820,000000,36.227,36.629,35.734,35.734,642,0
CCC,D,20090821,000000,35.811,35.811,35.005,35.811,221225,0
CCC,D,20090824,000000,36.645,36.645,35.99,36.227,92145,0
CCC,D,20090825,000000,36.645,36.645,36.227,36.227,71083,0
CCC,D,20090826,000000,36.314,37.054,36.227,37.045,22623,0
CCC,D,20090827,000000,37.036,37.479,36.227,37.479,33467,0
CCC,D,20090828,000000,37.479,37.895,37.479,37.895,1065,0
CCC,D,20090831,000000,36.645,38.312,36.645,38.312,4945,0
CCC,D,20090901,000000,38.644,38.644,36.654,37.394,46645,0
CCC,D,20090902,000000,37.496,37.496,35.53,36.592,126859,0
CCC,D,20090903,000000,35.829,36.569,35.811,36.569,1918,0
CCC,D,20090904,000000,36.314,37.257,36.314,37.257,121973,0
CCC,D,20090907,000000,37.377,39.665,36.482,39.665,23722,0
CCC,D,20090908,000000,40.065,40.082,38.312,39.145,1500188,0
CCC,D,20090909,000000,39.562,39.562,38.821,39.061,31751,0
CCC,D,20090910,000000,39.061,39.061,38.312,38.312,18604,0
CCC,D,20090911,000000,38.312,38.312,36.831,37.479,29118,0
CCC,D,20090914,000000,38.065,38.065,36.645,37.233,57445,0
CCC,D,20090915,000000,36.569,37.718,36.482,37.718,10113,0
CCC,D,20090916,000000,38.15,39.061,38.15,39.061,720,0
CCC,D,20090917,000000,38.644,39.223,38.644,39.061,3609,0
CCC,D,20090918,000000,39.136,39.145,38.312,39.145,9657,0
CCC,D,20090921,000000,38.984,38.984,38.065,38.312,9697,0
CCC,D,20090922,000000,39.145,39.562,39.105,39.562,34252,0
CCC,D,20090923,000000,39.554,39.98,38.813,39.98,38665,0
CCC,D,20090924,000000,40.832,40.839,39.46,40.832,6094,0
CCC,D,20090925,000000,39.817,39.987,39.724,39.98,7460,0
CCC,D,20090928,000000,40.832,40.832,39.98,40.149,4248,0
CCC,D,20090929,000000,40.832,40.832,37.427,39.972,9461,0
CCC,D,20090930,000000,39.98,40.303,38.62,39.98,17773,0
CCC,D,20091001,000000,39.98,39.98,39.136,39.98,882,0
CCC,D,20091002,000000,39.98,39.98,39.469,39.972,873,0
CCC,D,20091005,000000,39.469,39.972,39.469,39.972,131,0
CCC,D,20091006,000000,39.554,39.98,39.127,39.98,59189,0
CCC,D,20091007,000000,40.311,40.66,39.127,39.428,24344,0
CCC,D,20091008,000000,39.963,39.963,38.797,39.113,19559,0
CCC,D,20091009,000000,38.235,39.119,38.235,38.745,29677,0
CCC,D,20091012,000000,38.235,38.719,37.53,38.678,14387,0
CCC,D,20091013,000000,37.86,38.278,37.607,38.091,14683,0
CCC,D,20091014,000000,38.193,38.193,37.427,38.158,89081,0
CCC,D,20091015,000000,38.193,38.193,37.172,37.172,43884,0
CCC,D,20091016,000000,37.002,37.002,35.319,35.386,59072,0
CCC,D,20091019,000000,35.386,36.236,34.875,34.875,25575,0
CCC,D,20091020,000000,35.13,35.726,35.13,35.717,2901,0
CCC,D,20091021,000000,35.726,35.726,35.557,35.726,10514,0
CCC,D,20091022,000000,35.811,36.101,35.683,36.101,3056,0
CCC,D,20091023,000000,36.108,36.577,35.726,36.153,25349,0
CCC,D,20091026,000000,35.769,35.811,34.111,35.293,7360,0
CCC,D,20091027,000000,35.717,35.717,34.366,35.173,8348,0
CCC,D,20091028,000000,34.535,35.173,34.025,34.628,12070,0
CCC,D,20091029,000000,34.025,34.492,33.999,34.366,4616,0
CCC,D,20091030,000000,34.867,34.867,33.641,34.484,10095,0
CCC,D,20091102,000000,33.514,34.484,33.514,33.933,80009,0
CCC,D,20091103,000000,33.6,36.466,33.6,35.005,11510,0
CCC,D,20091104,000000,35.005,36.577,34.893,35.147,12910,0
CCC,D,20091105,000000,35.854,36.116,34.918,35.249,16123,0
CCC,D,20091106,000000,35.726,35.811,34.875,35.13,11324,0
CCC,D,20091109,000000,35.658,35.658,34.875,34.875,554,0
CCC,D,20091110,000000,34.884,34.884,33.769,34.025,10523,0
CCC,D,20091112,000000,34.111,34.111,32.75,32.75,10952,0
CCC,D,20091113,000000,34.025,34.025,33.047,34.007,121253,0
CCC,D,20091116,000000,34.025,37.172,34.025,37.172,448308,0
CCC,D,20091117,000000,37.002,37.002,35.769,36.153,1398047,0
CCC,D,20091118,000000,37.385,37.512,37.385,37.427,12336,0
CCC,D,20091119,000000,37.427,37.427,36.883,37.342,3896,0
CCC,D,20091120,000000,36.577,37.683,36.577,37.683,138286,0
CCC,D,20091123,000000,37.427,37.852,37.427,37.852,306903,0
CCC,D,20091124,000000,37.852,37.852,37.342,37.427,11315,0
CCC,D,20091125,000000,37.427,37.852,37.385,37.852,229720,0
CCC,D,20091126,000000,37.836,38.278,37.836,38.278,215806,0
CCC,D,20091127,000000,38.278,38.278,37.002,38.278,8115,0
CCC,D,20091130,000000,37.589,38.62,37.427,38.533,1257,0
CCC,D,20091201,000000,38.772,39.127,38.278,39.127,3140,0
CCC,D,20091202,000000,39.127,39.358,39.127,39.127,4862,0
CCC,D,20091203,000000,38.703,40.832,38.278,39.98,103412,0
CCC,D,20091204,000000,39.274,40.421,39.274,39.98,6038,0
CCC,D,20091207,000000,39.98,41.681,39.98,41.255,25558,0
CCC,D,20091208,000000,41.553,41.553,40.832,41.255,23466,0
CCC,D,20091209,000000,40.832,42.107,40.832,41.681,1127,0
CCC,D,20091210,000000,42.062,42.107,41.255,42.107,14044,0
CCC,D,20091211,000000,41.681,42.107,41.681,42.107,10859,0
CCC,D,20091214,000000,42.446,42.531,42.362,42.531,113895,0
CCC,D,20091215,000000,41.681,42.531,41.681,42.107,112635,0
CCC,D,20091216,000000,42.107,42.107,41.681,42.107,768,0
CCC,D,20091217,000000,42.079,42.463,41.681,42.107,2456,0
CCC,D,20091218,000000,41.595,42.107,41.271,41.307,1657,0
CCC,D,20091221,000000,42.531,44.189,42.531,43.467,8471,0
CCC,D,20091222,000000,43.382,44.104,42.531,42.531,2886,0
CCC,D,20091223,000000,43.169,43.169,43.04,43.04,5234,0
CCC,D,20091228,000000,43.04,43.382,42.386,42.531,82599,0
CCC,D,20091229,000000,41.85,42.523,41.263,42.523,63438,0
CCC,D,20091230,000000,41.783,42.394,41.681,41.85,58995,0
CCC,D,20091231,000000,41.255,42.251,41.085,41.34,24494,0
CCC,D,20100104,000000,40.999,42.914,40.832,42.914,5303,0
CCC,D,20100105,000000,42.914,43.339,42.872,43.298,27766,0
CCC,D,20100106,000000,43.339,43.85,43.339,43.595,28546,0
CCC,D,20100107,000000,43.68,43.68,43.382,43.382,12189,0
CCC,D,20100108,000000,42.702,43.254,41.902,42.531,1201,0
CCC,D,20100111,000000,41.936,42.702,41.936,42.702,6128,0
CCC,D,20100112,000000,43.211,43.211,42.573,42.616,207,0
CCC,D,20100113,000000,42.659,43.721,42.659,43.721,1732,0
CCC,D,20100114,000000,43.721,43.85,43.721,43.85,72055,0
CCC,D,20100115,000000,43.85,45.168,43.85,44.275,1434,0
CCC,D,20100118,000000,44.317,45.933,42.828,44.701,73198,0
CCC,D,20100119,000000,44.701,44.701,43.382,44.403,23724,0
CCC,D,20100120,000000,44.701,44.701,44.403,44.701,66278,0
CCC,D,20100121,000000,45.082,45.082,44.701,44.701,180,0
CCC,D,20100122,000000,43.636,44.148,43.551,44.148,2764,0
CCC,D,20100125,000000,45.042,45.042,43.806,44.232,823,0
CCC,D,20100126,000000,44.913,46.785,44.232,45.636,3676,0
CCC,D,20100127,000000,45.508,45.508,44.869,45.042,414,0
CCC,D,20100128,000000,44.701,45.296,44.701,45.296,146,0
CCC,D,20100129,000000,44.314,45.083,44.236,45.083,100629,0
CCC,D,20100201,000000,45.082,47.507,44.657,47.21,58963,0
CCC,D,20100202,000000,46.785,46.785,45.636,46.785,1711,0
CCC,D,20100203,000000,46.87,46.87,46.87,46.87,1330,0
CCC,D,20100204,000000,47.294,47.294,45.933,46.359,36484,0
CCC,D,20100205,000000,45.082,46.997,45.082,46.359,15915,0
CCC,D,20100208,000000,46.273,46.741,45.423,46.317,58867,0
CCC,D,20100209,000000,46.359,46.7,45.933,46.061,31069,0
CCC,D,20100210,000000,46.359,46.359,45.721,46.019,3234,0
CCC,D,20100211,000000,45.253,45.253,44.403,45.082,7895,0
CCC,D,20100212,000000,45.508,45.508,45.508,45.508,4909,0
CCC,D,20100215,000000,45.552,45.552,44.403,44.869,10735,0
CCC,D,20100216,000000,44.275,45.508,44.232,44.657,14447,0
